Breed,Category,Intelligence-Ranking,Intelligence-Category,Size-Category,Longevity,Total-Cost($),Purchase-Cost($),Food-Cost($)
Komondor,Working,,,Large,9.17,,656,
Kuvasz,Working,42,Average,Large,,,,
Labrador Retriever,Sporting,7,Brightest,Medium,12.04,18422,810,4819
Lakeland Terrier,Terrier,62,Fair,Small,,,1093,
Leonberger,Working,,,Large,6.98,13232,1480,4251
Lhasa Apso,Non-Sporting,68,Fair,Small,13.92,18985,350,3876
Lowchen,Non-Sporting,,,Small,10,,,
Maltese,Toy,59,Fair,Small,12.25,16073,650,2410
Manchester Terrier,Terrier,32,Above-Average,Small,9.32,,720,
Mastiff,Working,72,Lowest,Large,6.5,11224,900,3325
Miniature Bull Terrier,Terrier,,,Small,6.6,,1740,
Miniature Pinscher,Toy,37,Above-Average,Small,,,535,
Miniature Schnauzer,Terrier,12,Excellent,Small,11.81,16753,715,3486
Neapolitan Mastiff,Working,,,Large,,,1760,
Newfoundland,Working,34,Above-Average,Large,9.32,16802,1178,5677
Norfolk Terrier,Terrier,56,Fair,Small,13.07,21185,2083,5231
Norwegian Buhund,Herding,,,Medium,12.67,,,
Norwegian Elkhound,Hound,36,Above-Average,Medium,,,448,
Norwegian Lundehund,Non-Sporting,,,Small,,,,
Norwich Terrier,Terrier,38,Above-Average,Small,,,1245,
Nova Scotia Duck Tolling Retriever,Sporting,,,Medium,6.5,11100,1500,2602
Old English Sheepdog,Herding,63,Fair,Medium,11.19,19551,832,6816
Otterhound,Hound,46,Average,Large,10.8,,,4323
Papillon,Toy,8,Brightest,Small,13,18157,740,3620
Parson Russell Terrier,Terrier,,,Small,,,528,
Pekingese,Toy,74,Lowest,Small,11.56,17803,885,4627
Pembroke Welsh Corgi,Herding,11,Excellent,Small,12.25,19625,587,6026
Petit Basset Griffon Vendeen,Hound,62,Fair,Small,12.7,,400,
Pharaoh Hound,Hound,37,Above-Average,Medium,11.83,18221,913,4735
Plott,Hound,,,Medium,,,,
Pointer,Sporting,43,Average,Large,12.42,21049,294,7565
Polish Lowland Sheepdog,Herding,,,Medium,10.8,,,4323
Pomeranian,Toy,23,Excellent,Small,9.67,13677,670,2693
Poodle,Non-Sporting,2,Brightest,Medium,11.95,18382,900,4783
Portuguese Water Dog,Working,,,Medium,11.42,,,
Pug,Toy,57,Fair,Medium,11,15421,469,3246
Puli,Herding,27,Above-Average,Medium,,,913,
Pyrenean Shepherd,Herding,,,Medium,,,,
Redbone Coonhound,Hound,,,Large,,,425,
Rhodesian Ridgeback,Hound,52,Average,Large,9.1,14355,995,3642
Rottweiler,Working,9,Brightest,Large,9.11,16395,1118,5549
Saint Bernard,Working,65,Fair,Large,7.78,17336,875,8124
Saluki,Hound,43,Average,Medium,12,21585,1525,7309
Samoyed,Working,33,Above-Average,Medium,12.44,21951,1162,7577
Schipperke,Non-Sporting,15,Excellent,Small,13,,658,
Scottish Deerhound,Hound,47,Average,Large,8.7,,,
Scottish Terrier,Terrier,65,Fair,Small,10.69,15187,829,2977
Sealyham Terrier,Terrier,56,Fair,Small,12.25,,,
Shetland Sheepdog,Herding,6,Brightest,Small,12.53,17469,465,3698
Shiba Inu,Non-Sporting,,,Small,7,,890,
Shih Tzu,Toy,70,Lowest,Small,13.2,18264,583,3675
Siberian Husky,Working,45,Average,Medium,12.58,19043,650,5035
Silky Terrier,Toy,37,Above-Average,Small,14.25,,448,
Skye Terrier,Terrier,55,Fair,Small,11,,550,
Smooth Fox Terrier,Terrier,40,Average,Small,13.17,,575,
Soft-Coated Wheaten Terrier,Terrier,40,Average,Medium,12.16,,832,
Spinone Italiano,Sporting,,,Large,9,,1725,
Staffordshire Bull Terrier,Terrier,49,Average,Medium,12.05,18772,1145,4823
Standard Schnauzer,Working,18,Excellent,Medium,,,855,
Sussex Spaniel,Sporting,,,Small,11.17,,,4471
Swedish Vallhund,Herding,,,Small,14.17,19739,772,3946
Tibetan Mastiff,Working,,,Large,11.92,20899,3460,4771
Tibetan Spaniel,Non-Sporting,46,Average,Small,14.42,22104,1050,5772
Tibetan Terrier,Non-Sporting,62,Fair,Small,12.31,17643,1140,3428
Toy Fox Terrier,Toy,,,Small,,,460,
Vizsla,Sporting,25,Excellent,Medium,12.5,,935,
Weimaraner,Sporting,21,Excellent,Large,,,562,
Welsh Springer Spaniel,Sporting,31,Above-Average,Medium,12.49,17492,750,3478
Welsh Terrier,Terrier,53,Average,Small,,,843,
West Highland White Terrier,Terrier,47,Average,Small,12.8,17690,538,3564
Whippet,Hound,51,Average,Medium,12.87,18160,915,3584
Wire Fox Terrier,Terrier,51,Average,Small,13.17,,668,
Wirehaired Pointing Griffon,Sporting,46,Average,Medium,8.8,,755,
Xoloitzcuintli,Non-Sporting,,,Medium,,,717,
Yorkshire Terrier,Toy,27,Above-Average,Small,12.6,17944,1057,3508
