Petfinder-ID,Name,Size,Gender,Age,Color,Breed
69743164,Ferb GS,Medium,Male,Baby,,Parson Russell Terrier
69743165,Joy,Medium,Female,Baby,,German Shepherd
69743166,Scarlett ,Medium,Female,Baby,Brown,American English Coonhound
69743172,Penni,Medium,Female,Baby,Black,Border Collie
69743173,Sofia,Medium,Female,Adult,Black,Bull Terrier
69743176,Merry,Medium,Female,Baby,,German Shepherd
69743193,SASHA,Large,Female,Young,,German Shepherd
69743195,DAISA,Large,Female,Adult,,Rottweiler
69743199,LACY,Medium,Female,Adult,,Parson Russell Terrier
69743206,MOLLY,Medium,Female,Young,,Bulldog
69743208,TUX,Large,Male,Adult,,German Shepherd
69743221,JINX*,Medium,Female,Adult,,Bull Terrier
69743224,POSEIDON,Large,Male,Adult,,German Shepherd
69743228,BOBA,Small,Female,Young,,Rottweiler
69743230,CHAI,Small,Female,Young,,Rottweiler
69743231,LOVEBUG,Medium,Female,Young,,Pointer
69743232,MICHAELA,Extra Large,Female,Adult,,German Shepherd
69743235,Carmel,Medium,Male,Young,,American English Coonhound
69743236,Shiloh,Medium,Male,Young,,American English Coonhound
69743242,Becky ,Medium,Female,Baby,Black,Labrador Retriever
69743243,Tyler,Medium,Male,Young,Bicolor,German Shepherd
69743244,Jolly,Medium,Male,Baby,,German Shepherd
69743245,23-11-3622 Gary,Large,Male,Adult,,Bull Terrier
69743254,Eve,Small,Female,Senior,Yellow,Pug
69743261,Alfa,Medium,Female,Baby,Tricolor,American Staffordshire Terrier
69743262,Ferb GS,Medium,Male,Baby,,Parson Russell Terrier
69743263,Cane ,Medium,Male,Baby,,German Shepherd
69743275,Olivia. ,Medium,Female,Baby,Harlequin,American English Coonhound
69743278,Blizzard ,Medium,Male,Baby,,German Shepherd
69743283,Figgy,Large,Female,Baby,,Australian Shepherd
69743285,Ono,Large,Male,Adult,,Labrador Retriever
69743286,LEELA,Medium,Female,Baby,Black,Bull Terrier
69743291,Phineas GS,Medium,Male,Baby,White,Parson Russell Terrier
69743293,Malone,Small,Male,Young,Yellow,Pug
69743307,Renesmee,Large,Female,Baby,Apricot,Great Pyrenees
69743308,Benn ,Medium,Male,Adult,Tricolor,Australian Shepherd
69743324,Daisy,Large,Female,Young,,Great Pyrenees
69743325,Rusty,Medium,Male,Adult,,Bull Terrier
69743327,Sunshine,Medium,Female,Young,,Australian Shepherd
69743346,Spot,Large,Male,Adult,Black,Labrador Retriever
69743347,Franklin,Small,Male,Senior,Yellow,Pug
69743359,Phineas GS,Medium,Male,Baby,White,Parson Russell Terrier
69743361,Roxie,Small,Female,Baby,Yellow,Yorkshire Terrier
69743362,Drake,Medium,Male,Baby,Brown,Parson Russell Terrier
69743365,Chauncey,Large,Male,Young,Tricolor,Siberian Husky
69743369,Roxie (TX),Small,Female,Baby,Yellow,Yorkshire Terrier
69743373,Marshall,Medium,Male,Young,,Border Collie
69743375,Mia,Large,Female,Adult,Black,Doberman Pinscher
69743381,Wallace,Small,Male,Young,Yellow,Pug
69743383,Moke JE*,Medium,Male,Baby,Yellow,Parson Russell Terrier
69743394,Noodles,Medium,Female,Young,White,Parson Russell Terrier
69743395,Goose,Medium,Male,Young,Black,Ibizan Hound
69743401,Birch,Large,Male,Baby,,Bull Terrier
69743404,Maddy,Small,Female,Senior,White,Poodle
69743407,Dixie,Small,Female,Adult,,Parson Russell Terrier
69743413,Frankie,Medium,Male,Adult,Bicolor,Parson Russell Terrier
69743420,Sport,Medium,Male,Adult,Tricolor,Parson Russell Terrier
69743424,Sandy,Medium,Female,Adult,Yellow,Siberian Husky
69743425,Snickerdoodle,Medium,Female,Young,,Boxer
69743426,Sarah,Medium,Female,Young,Yellow,Bulldog
69743427,Hailey,Medium,Female,Baby,,Labrador Retriever
69743431,Skye,Small,Female,Adult,Yellow,Pug
69743436,Lily (Coming the 2nd),Medium,Female,Adult,,Bulldog
69743441,Sunnie,Medium,Female,Adult,,Parson Russell Terrier
69743442,Westley,Small,Male,Young,,Yorkshire Terrier
69743496,Maria,Small,Female,Adult,,Beagle
69743501,ELEANOR,Large,Female,Young,,Labrador Retriever
69743502,CARLOS,Large,Male,Young,,Boxer
69743514,TJ,Medium,Male,Young,,Australian Shepherd
69743531,Joy,Small,Female,Young,Black,Pug
69743532,CANNON,Large,Male,Young,,Labrador Retriever
69743533,KING TACO,Medium,Male,Young,,German Shepherd
69743535,DUNCAN,Large,Male,Young,,Bull Terrier
69743550,Bucky,Medium,Male,Baby,Tricolor,Beagle
69743562,Mocha,Medium,Female,Baby,Brown,Bull Terrier
69743570,Forest,Large,Male,Baby,,Bull Terrier
69743575,COURTESY POST - Delilah - Ottumwa/ IA,Medium,Female,Baby,Black,Australian Shepherd
69743576,Luke,Large,Male,Young,Bicolor,German Shepherd
69743583,Tidus,Large,Male,Adult,Golden,German Shepherd
69743586,Minnie,Large,Female,Baby,,Weimaraner
69743587,Brooklyn ,Medium,Female,Young,Brown,Labrador Retriever
69743609,Bronc,Large,Female,Adult,,Labrador Retriever
69743611,Cassie,Medium,Female,Adult,,Bull Terrier
69743612,Blair in VA - Gorgeous & Pyrfect Temperament!,Large,Female,Young,White,Great Pyrenees
69743613,Polka Dots,Medium,Female,Baby,,Bulldog
69743616,Ana Banana the goofy goober,Medium,Female,Adult,Gray,Bull Terrier
69743631,Fritzi ,Small,Male,Young,Apricot,Pomeranian
69743635,Red,Medium,Female,Baby,Red,American English Coonhound
69743638,Violet,Large,Female,Baby,,Weimaraner
69743645,Rocky,Medium,Male,Adult,,Poodle
69743647,Tavi II,Medium,Female,Baby,,Australian Cattle Dog
